update_id,week,date,program,project,milestone,author,role,team,update_text,signal_truth,severity_truth
U0011,1,2026-03-20,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),T. Abara,Data Eng Lead,Data Platform,Good week. the data-refresh scheduler is feature-complete and we even cleared some tech debt. Confident on v1 ship (Jun 6).,on_track,low
U0013,1,2026-03-20,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),N. Yusuf,SRE,Cloud Infra,"All green on the autoscaling policies. Code review done, automated tests passing at 98% coverage.",on_track,low
U0018,1,2026-03-20,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),W. Achebe,QA Lead,Quality,We are stuck on the vendor-risk assessments. The upstream production access sign-off from Security & Compliance never arrived and our work is fully serialized behind it.,blocker,high
U0019,1,2026-03-20,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),P. Whitlock,Security Lead,Security & Compliance,"Security review of the change-management controls surfaced a few findings. None critical yet, but remediation could eat into the Audit window (Jun 25) buffer.",risk,medium
U0020,1,2026-03-20,Merchant,Merchant Onboarding Portal,GA (Jun 23),C. Nakamura,Eng Lead,Merchant,"Wrapped the e-signature integration ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0028,2,2026-03-23,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),M. Lindqvist,Backend Eng,Payments,"Wrapped the FX conversion module ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0031,2,2026-03-23,Customer Experience,Loyalty Program,Beta (Jun 20),H. Vasquez,Eng Lead,Loyalty,"Slightly concerned about Beta (Jun 20) — the redemption API is taking longer than estimated, could slip ~3 week(s) if the current pace holds.",risk,medium
U0032,2,2026-03-23,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,Critical blocker on the schema-migration tooling — a data-migration step is corrupting records and we've had to halt the rollout entirely.,blocker,critical
U0039,2,2026-03-23,Infrastructure,API Gateway Rollout,Cutover (Jun 18),D. Costa,Platform Eng Lead,Cloud Infra,"Sprint goals met — the canary routing merged and deployed to staging, no issues. Cutover (Jun 18) still on track.",on_track,low
U0029,2,2026-03-24,Customer Experience,Mobile App Revamp,Public release (Jul 7),S. Halvorsen,Eng Lead,Mobile,"Blocked: legal has not signed off on the the KYC vendor contract, so we can't even start the the new navigation shell integration. Slipping Public release (Jul 7).",blocker,critical
U0036,2,2026-03-24,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),T. Abara,Data Eng Lead,Data Platform,Cross-team dependency: v1 ship (Jun 6) needs the new payments API contract from Payments before we can integrate. Tracking their ETA.,dependency,medium
U0038,2,2026-03-24,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),N. Yusuf,SRE,Cloud Infra,"Waiting on Data Platform to finalize the shared identity dataset before we can wire up the secrets-management setup. Not blocked today, but it's on the critical path.",dependency,high
U0040,2,2026-03-24,Infrastructure,API Gateway Rollout,Cutover (Jun 18),W. Achebe,QA Lead,Quality,Demo of the canary routing to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0044,2,2026-03-24,Merchant,Payouts Reconciliation,v1 (Jun 16),F. Andersen,Fullstack Eng,Merchant,"Waiting on Payments to finalize the new payments API contract before we can wire up the payout-matching job. Not blocked today, but it's on the critical path.",dependency,high
U0033,2,2026-03-25,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,Good week. the ingestion connectors is feature-complete and we even cleared some tech debt. Confident on Cutover (Jun 27).,on_track,low
U0042,2,2026-03-25,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),W. Achebe,QA Lead,Quality,"the access-review evidence depends on production access sign-off from Security & Compliance, which has now slipped to late June. Coordinating revised timelines.",dependency,medium
U0027,2,2026-03-26,Payments Platform,Wallet 2.0,GA launch (Jun 30),M. Lindqvist,Backend Eng,Payments,Reminder that the refunds module can't ship without production access sign-off from Security & Compliance — flagging so the dependency is visible at the program level.,dependency,medium
U0030,2,2026-03-26,Customer Experience,Mobile App Revamp,Public release (Jul 7),J. Park,iOS Eng,Mobile,Demo of the redesigned checkout screen to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0037,2,2026-03-26,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,We're seeing flaky test failures around the autoscaling policies that we can't reproduce locally. Worried it masks a deeper issue before Prod migration (Jul 1).,risk,medium
U0034,2,2026-03-27,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),T. Abara,Data Eng Lead,Data Platform,"Load testing on the access-control layer is showing latency spikes under peak traffic. Not blocked yet, but this is a real risk to Cutover (Jun 27).",risk,high
U0035,2,2026-03-27,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),K. Sørensen,Analytics Eng,Data Platform,"Sprint goals met — the data-refresh scheduler merged and deployed to staging, no issues. v1 ship (Jun 6) still on track.",on_track,low
U0041,2,2026-03-27,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),W. Achebe,QA Lead,Quality,"All green on the vendor-risk assessments. Code review done, automated tests passing at 98% coverage.",on_track,low
U0043,2,2026-03-27,Merchant,Merchant Onboarding Portal,GA (Jun 23),F. Andersen,Fullstack Eng,Merchant,Demo of the e-signature integration to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0045,2,2026-03-27,Merchant,Payouts Reconciliation,v1 (Jun 16),Y. Fontaine,Program Manager,PMO,Demo of the exceptions queue to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0046,2,2026-03-27,Growth,Marketing Automation,Campaign go-live (Jun 9),O. Lindgren,Eng Lead,Growth,"All green on the email-template builder. Code review done, automated tests passing at 98% coverage.",on_track,low
U0049,3,2026-03-30,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),Y. Fontaine,Program Manager,PMO,"Security review of the batch settlement pipeline surfaced a few findings. None critical yet, but remediation could eat into the Phase-2 cutover (Jun 12) buffer.",risk,medium
U0053,3,2026-03-30,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,We are stuck on the historical backfill. The upstream the shared design-system components from Platform never arrived and our work is fully serialized behind it.,blocker,high
U0065,3,2026-03-30,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,Demo of the email-template builder to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0061,3,2026-03-31,Merchant,Merchant Onboarding Portal,GA (Jun 23),G. Oyelaran,Product Manager,Merchant,Cross-team dependency: GA (Jun 23) needs the provisioned staging cluster from Cloud Infra before we can integrate. Tracking their ETA.,dependency,medium
U0047,3,2026-04-01,Payments Platform,Wallet 2.0,GA launch (Jun 30),W. Achebe,QA Lead,Quality,Scope for the tokenization service grew after the stakeholder review — three new requirements added. Risk of overrunning GA launch (Jun 30).,risk,medium
U0050,3,2026-04-01,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),Z. Petrov,Program Manager,PMO,Good week. the dispute-handling service is feature-complete and we even cleared some tech debt. Confident on Phase-2 cutover (Jun 12).,on_track,low
U0051,3,2026-04-01,Customer Experience,Mobile App Revamp,Public release (Jul 7),J. Park,iOS Eng,Mobile,Cross-team dependency: Public release (Jul 7) needs the new payments API contract from Payments before we can integrate. Tracking their ETA.,dependency,medium
U0054,3,2026-04-01,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),K. Sørensen,Analytics Eng,Data Platform,Scope for the cohort-retention chart grew after the stakeholder review — three new requirements added. Risk of overrunning v1 ship (Jun 6).,risk,medium
U0055,3,2026-04-01,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),W. Achebe,QA Lead,Quality,Good week. the service-mesh config is feature-complete and we even cleared some tech debt. Confident on Prod migration (Jul 1).,on_track,low
U0056,3,2026-04-01,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,"Sprint goals met — the blue-green deploy pipeline merged and deployed to staging, no issues. Prod migration (Jul 1) still on track.",on_track,low
U0057,3,2026-04-01,Infrastructure,API Gateway Rollout,Cutover (Jun 18),D. Costa,Platform Eng Lead,Cloud Infra,Scope for the canary routing grew after the stakeholder review — three new requirements added. Risk of overrunning Cutover (Jun 18).,risk,medium
U0062,3,2026-04-01,Merchant,Payouts Reconciliation,v1 (Jun 16),C. Nakamura,Eng Lead,Merchant,"All green on the bank-statement importer. Code review done, automated tests passing at 98% coverage.",on_track,low
U0052,3,2026-04-02,Customer Experience,Loyalty Program,Beta (Jun 20),H. Vasquez,Eng Lead,Loyalty,Demo of the rewards catalog to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0059,3,2026-04-02,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),W. Achebe,QA Lead,Quality,Estimate for the incident-response runbook was optimistic. Realistically I think we're trending behind on Audit window (Jun 25) — flagging early.,risk,high
U0063,3,2026-04-02,Merchant,Payouts Reconciliation,v1 (Jun 16),C. Nakamura,Eng Lead,Merchant,Demo of the payout-matching job to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0064,3,2026-04-02,Growth,Marketing Automation,Campaign go-live (Jun 9),W. Achebe,QA Lead,Quality,Good week. the A/B testing module is feature-complete and we even cleared some tech debt. Confident on Campaign go-live (Jun 9).,on_track,low
U0048,3,2026-04-03,Payments Platform,Wallet 2.0,GA launch (Jun 30),Y. Fontaine,Program Manager,PMO,"Waiting on Platform to finalize the shared design-system components before we can wire up the KYC flow. Not blocked today, but it's on the critical path.",dependency,high
U0058,3,2026-04-03,Infrastructure,API Gateway Rollout,Cutover (Jun 18),N. Yusuf,SRE,Cloud Infra,"Wrapped the legacy-route shim ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0060,3,2026-04-03,Merchant,Merchant Onboarding Portal,GA (Jun 23),G. Oyelaran,Product Manager,Merchant,Demo of the e-signature integration to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0079,4,2026-04-06,Infrastructure,API Gateway Rollout,Cutover (Jun 18),D. Costa,Platform Eng Lead,Cloud Infra,"Wrapped the rate-limiting rules ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0085,4,2026-04-06,Merchant,Merchant Onboarding Portal,GA (Jun 23),F. Andersen,Fullstack Eng,Merchant,We're seeing flaky test failures around the document-upload flow that we can't reproduce locally. Worried it masks a deeper issue before GA (Jun 23).,risk,medium
U0091,4,2026-04-06,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,"All green on the campaign scheduler. Code review done, automated tests passing at 98% coverage.",on_track,low
U0069,4,2026-04-07,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),Y. Fontaine,Program Manager,PMO,"Wrapped the batch settlement pipeline ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0075,4,2026-04-07,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),Y. Fontaine,Program Manager,PMO,Good week. the data-refresh scheduler is feature-complete and we even cleared some tech debt. Confident on v1 ship (Jun 6).,on_track,low
U0080,4,2026-04-07,Infrastructure,API Gateway Rollout,Cutover (Jun 18),Z. Petrov,Program Manager,PMO,Demo of the auth middleware to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0073,4,2026-04-08,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,Critical blocker on the ingestion connectors — a data-migration step is corrupting records and we've had to halt the rollout entirely.,blocker,critical
U0077,4,2026-04-08,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),N. Yusuf,SRE,Cloud Infra,Good week. the secrets-management setup is feature-complete and we even cleared some tech debt. Confident on Prod migration (Jul 1).,on_track,low
U0078,4,2026-04-08,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),Y. Fontaine,Program Manager,PMO,"Wrapped the blue-green deploy pipeline ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0081,4,2026-04-08,Infrastructure,API Gateway Rollout,Cutover (Jun 18),W. Achebe,QA Lead,Quality,"All green on the rate-limiting rules. Code review done, automated tests passing at 98% coverage.",on_track,low
U0088,4,2026-04-08,Merchant,Payouts Reconciliation,v1 (Jun 16),Y. Fontaine,Program Manager,PMO,Reminder that the bank-statement importer can't ship without the provisioned staging cluster from Cloud Infra — flagging so the dependency is visible at the program level.,dependency,medium
U0089,4,2026-04-08,Growth,Marketing Automation,Campaign go-live (Jun 9),Y. Fontaine,Program Manager,PMO,Cross-team dependency: Campaign go-live (Jun 9) needs the shared identity dataset from Data Platform before we can integrate. Tracking their ETA.,dependency,medium
U0090,4,2026-04-08,Growth,Marketing Automation,Campaign go-live (Jun 9),O. Lindgren,Eng Lead,Growth,Demo of the campaign scheduler to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0066,4,2026-04-09,Payments Platform,Wallet 2.0,GA launch (Jun 30),W. Achebe,QA Lead,Quality,Cross-team dependency: GA launch (Jun 30) needs the provisioned staging cluster from Cloud Infra before we can integrate. Tracking their ETA.,dependency,medium
U0067,4,2026-04-09,Payments Platform,Wallet 2.0,GA launch (Jun 30),W. Achebe,QA Lead,Quality,"All green on the refunds module. Code review done, automated tests passing at 98% coverage.",on_track,low
U0068,4,2026-04-09,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),Y. Fontaine,Program Manager,PMO,Cross-team dependency: Phase-2 cutover (Jun 12) needs the merchant-ID mapping service from Merchant before we can integrate. Tracking their ETA.,dependency,medium
U0071,4,2026-04-09,Customer Experience,Loyalty Program,Beta (Jun 20),Z. Petrov,Program Manager,PMO,Demo of the redemption API to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0074,4,2026-04-09,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),K. Sørensen,Analytics Eng,Data Platform,Reminder that the export-to-PDF feature can't ship without the merchant-ID mapping service from Merchant — flagging so the dependency is visible at the program level.,dependency,medium
U0076,4,2026-04-09,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,"the blue-green deploy pipeline depends on the merchant-ID mapping service from Merchant, which has now slipped to next week. Coordinating revised timelines.",dependency,medium
U0083,4,2026-04-09,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),E. Ramirez,GRC Analyst,Security & Compliance,"All green on the vendor-risk assessments. Code review done, automated tests passing at 98% coverage.",on_track,low
U0086,4,2026-04-09,Merchant,Merchant Onboarding Portal,GA (Jun 23),F. Andersen,Fullstack Eng,Merchant,Reminder that the e-signature integration can't ship without the new payments API contract from Payments — flagging so the dependency is visible at the program level.,dependency,medium
U0070,4,2026-04-10,Customer Experience,Mobile App Revamp,Public release (Jul 7),J. Park,iOS Eng,Mobile,Demo of the push-notification service to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0072,4,2026-04-10,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),Y. Fontaine,Program Manager,PMO,"Load testing on the access-control layer is showing latency spikes under peak traffic. Not blocked yet, but this is a real risk to Cutover (Jun 27).",risk,high
U0082,4,2026-04-10,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),W. Achebe,QA Lead,Quality,Demo of the access-review evidence to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0084,4,2026-04-10,Merchant,Merchant Onboarding Portal,GA (Jun 23),F. Andersen,Fullstack Eng,Merchant,"Sprint goals met — the risk-scoring step merged and deployed to staging, no issues. GA (Jun 23) still on track.",on_track,low
U0087,4,2026-04-10,Merchant,Payouts Reconciliation,v1 (Jun 16),W. Achebe,QA Lead,Quality,"All green on the bank-statement importer. Code review done, automated tests passing at 98% coverage.",on_track,low
U0092,5,2026-04-13,Payments Platform,Wallet 2.0,GA launch (Jun 30),A. Okafor,Eng Lead,Payments,Reminder that the card-vault integration can't ship without production access sign-off from Security & Compliance — flagging so the dependency is visible at the program level.,dependency,medium
U0098,5,2026-04-13,Customer Experience,Loyalty Program,Beta (Jun 20),H. Vasquez,Eng Lead,Loyalty,"All green on the points-accrual engine. Code review done, automated tests passing at 98% coverage.",on_track,low
U0099,5,2026-04-13,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),Z. Petrov,Program Manager,PMO,"Security review of the schema-migration tooling surfaced a few findings. None critical yet, but remediation could eat into the Cutover (Jun 27) buffer.",risk,medium
U0101,5,2026-04-14,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),T. Abara,Data Eng Lead,Data Platform,Good week. the revenue widget is feature-complete and we even cleared some tech debt. Confident on v1 ship (Jun 6).,on_track,low
U0104,5,2026-04-14,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,BLOCKED on the secrets-management setup: still waiting on Merchant for the merchant-ID mapping service. We cannot proceed until this lands — escalating to the PMO.,blocker,high
U0105,5,2026-04-14,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,Cross-team dependency: Prod migration (Jul 1) needs the shared design-system components from Platform before we can integrate. Tracking their ETA.,dependency,medium
U0106,5,2026-04-14,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,"All green on the blue-green deploy pipeline. Code review done, automated tests passing at 98% coverage.",on_track,low
U0108,5,2026-04-14,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),E. Ramirez,GRC Analyst,Security & Compliance,"Hard blocker — the KYC vendor sandbox has been down for 4 days, so the incident-response runbook integration is completely untestable. Audit window (Jun 25) at risk.",blocker,critical
U0114,5,2026-04-14,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,"Heads up: the engineer who owns the A/B testing module is out on leave for 2 weeks. Bus-factor risk, no clear backup right now.",risk,high
U0094,5,2026-04-15,Customer Experience,Mobile App Revamp,Public release (Jul 7),Y. Fontaine,Program Manager,PMO,"Wrapped the push-notification service ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0097,5,2026-04-15,Customer Experience,Loyalty Program,Beta (Jun 20),H. Vasquez,Eng Lead,Loyalty,"Security review of the tier-upgrade logic surfaced a few findings. None critical yet, but remediation could eat into the Beta (Jun 20) buffer.",risk,medium
U0100,5,2026-04-15,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),T. Abara,Data Eng Lead,Data Platform,"Heads up: the engineer who owns the access-control layer is out on leave for 2 weeks. Bus-factor risk, no clear backup right now.",risk,high
U0103,5,2026-04-15,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),K. Sørensen,Analytics Eng,Data Platform,"All green on the cohort-retention chart. Code review done, automated tests passing at 98% coverage.",on_track,low
U0093,5,2026-04-16,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),M. Lindqvist,Backend Eng,Payments,"Wrapped the batch settlement pipeline ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0109,5,2026-04-16,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),E. Ramirez,GRC Analyst,Security & Compliance,"Wrapped the change-management controls ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0110,5,2026-04-16,Merchant,Merchant Onboarding Portal,GA (Jun 23),C. Nakamura,Eng Lead,Merchant,Reminder that the merchant dashboard can't ship without the shared identity dataset from Data Platform — flagging so the dependency is visible at the program level.,dependency,medium
U0112,5,2026-04-16,Merchant,Payouts Reconciliation,v1 (Jun 16),C. Nakamura,Eng Lead,Merchant,"Wrapped the payout-matching job ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0113,5,2026-04-16,Growth,Marketing Automation,Campaign go-live (Jun 9),W. Achebe,QA Lead,Quality,Demo of the campaign scheduler to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0095,5,2026-04-17,Customer Experience,Mobile App Revamp,Public release (Jul 7),L. Moreau,Product Manager,Mobile,Demo of the new navigation shell to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0096,5,2026-04-17,Customer Experience,Loyalty Program,Beta (Jun 20),Y. Fontaine,Program Manager,PMO,Demo of the rewards catalog to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0102,5,2026-04-17,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),W. Achebe,QA Lead,Quality,"Sprint goals met — the data-refresh scheduler merged and deployed to staging, no issues. v1 ship (Jun 6) still on track.",on_track,low
U0107,5,2026-04-17,Infrastructure,API Gateway Rollout,Cutover (Jun 18),N. Yusuf,SRE,Cloud Infra,"Sprint goals met — the legacy-route shim merged and deployed to staging, no issues. Cutover (Jun 18) still on track.",on_track,low
U0111,5,2026-04-17,Merchant,Payouts Reconciliation,v1 (Jun 16),G. Oyelaran,Product Manager,Merchant,"Sprint goals met — the payout-matching job merged and deployed to staging, no issues. v1 (Jun 16) still on track.",on_track,low
U0117,6,2026-04-20,Customer Experience,Mobile App Revamp,Public release (Jul 7),Y. Fontaine,Program Manager,PMO,"All green on the push-notification service. Code review done, automated tests passing at 98% coverage.",on_track,low
U0128,6,2026-04-20,Infrastructure,API Gateway Rollout,Cutover (Jun 18),W. Achebe,QA Lead,Quality,Reminder that the rate-limiting rules can't ship without the shared design-system components from Platform — flagging so the dependency is visible at the program level.,dependency,medium
U0136,6,2026-04-20,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,"Wrapped the A/B testing module ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0124,6,2026-04-21,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),W. Achebe,QA Lead,Quality,Reminder that the secrets-management setup can't ship without the merchant-ID mapping service from Merchant — flagging so the dependency is visible at the program level.,dependency,medium
U0122,6,2026-04-22,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),K. Sørensen,Analytics Eng,Data Platform,"Sprint goals met — the cohort-retention chart merged and deployed to staging, no issues. v1 ship (Jun 6) still on track.",on_track,low
U0130,6,2026-04-22,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),P. Whitlock,Security Lead,Security & Compliance,"the vendor-risk assessments depends on the shared design-system components from Platform, which has now slipped to an unknown date. Coordinating revised timelines.",dependency,medium
U0132,6,2026-04-22,Merchant,Merchant Onboarding Portal,GA (Jun 23),C. Nakamura,Eng Lead,Merchant,"Sprint goals met — the e-signature integration merged and deployed to staging, no issues. GA (Jun 23) still on track.",on_track,low
U0135,6,2026-04-22,Merchant,Payouts Reconciliation,v1 (Jun 16),F. Andersen,Fullstack Eng,Merchant,"All green on the exceptions queue. Code review done, automated tests passing at 98% coverage.",on_track,low
U0137,6,2026-04-22,Growth,Marketing Automation,Campaign go-live (Jun 9),O. Lindgren,Eng Lead,Growth,"All green on the campaign scheduler. Code review done, automated tests passing at 98% coverage.",on_track,low
U0115,6,2026-04-23,Payments Platform,Wallet 2.0,GA launch (Jun 30),Z. Petrov,Program Manager,PMO,"Heads up: the engineer who owns the top-up endpoint is out on leave for 3 weeks. Bus-factor risk, no clear backup right now.",risk,high
U0118,6,2026-04-23,Customer Experience,Mobile App Revamp,Public release (Jul 7),L. Moreau,Product Manager,Mobile,"Wrapped the offline mode ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
